link,caption
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_115.jpg,a woman sitting on a bench in a park 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_135.jpg,a group of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_145.jpg,a group of people standing around a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_106.jpg,a woman in a dress is standing in a field
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_12.jpg,a black and white photo of a street sign 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_1.jpg,a woman in a dress sitting on a bench 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_13.jpg,a couple of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_124.jpg,a woman in a dress shirt and tie standing in a room 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_140.jpg,a woman holding a tennis racket in her hand 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_151.jpg,a couple of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_0.jpg,a woman walking down a street holding an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_142.jpg,a woman holding a nintendo wii game controller 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_143.jpg,a woman in a red dress is holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_119.jpg,a couple of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_10.jpg,a woman in a dress is standing in a field
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_136.jpg,a group of young children standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_121.jpg,a woman sitting on a bench in a park 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_150.jpg,a group of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_127.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_147.jpg,a woman in a dress shirt and tie standing in a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_126.jpg,a woman in a dress holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_138.jpg,a man and a woman standing under an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_108.jpg,a woman in a red dress and a red tie
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_144.jpg,a black and white photo of a street sign 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_128.jpg,a woman in a dress holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_104.jpg,a little girl wearing a hat and a hat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_139.jpg,a group of people posing for a picture 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_101.jpg,a woman in a dress shirt and tie standing in a room 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_125.jpg,a woman in a dress is holding an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_113.jpg,a group of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_116.jpg,a woman in a dress holding an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_14.jpg,a woman standing in front of a table with a cake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_130.jpg,a woman standing in front of a table with a cake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_110.jpg,a woman in a dress is holding an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_102.jpg,a man and a woman pose for a picture 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_148.jpg,a woman standing in front of a mirror holding a camera 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_107.jpg,a woman standing in front of a table with a cake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_132.jpg,a woman standing in front of a clock in a room 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_122.jpg,a woman in a dress and a dress shirt and tie
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_111.jpg,a woman holding a bouquet of flowers in her hands 
